Date received,Product,Sub-product,Issue,Sub-issue,Consumer complaint narrative,Company public response,Company,State,ZIP code,Tags,Consumer consent provided?,Submitted via,Date sent to company,Company response to consumer,Timely response?,Consumer disputed?,Complaint ID
4/30/2015,Mortgage,FHA mortgage,"Loan modification,collection,foreclosure",,,,NATIONSTAR MORTGAGE,NY,129XX,,Other,Web,4/30/2015,Closed with explanation,Yes,Yes,1355625
9/12/2016,Debt collection,"Other (i.e. phone, health club, etc.)",Cont'd attempts collect debt not owed,Debt is not mine,"I check my credit Report and I found a deb, after I called XXXX and they told me I own some money from a /XXXX in XXXX XXXX the collection company never contact me for no reason I just found out from my credit Report, at this moment I have all the documentation to show I do n't own that bill, but at this moment my credit report got hurt for something I dont own.",Company believes the complaint is the result of a misunderstanding,"Hunter Warfield, Inc.",FL,334XX,,Consent provided,Web,9/12/2016,Closed with explanation,Yes,Yes,2105689
3/2/2016,Mortgage,Home equity loan or line of credit,"Loan modification,collection,foreclosure",,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,WELLS FARGO & COMPANY,MN,55372,,,Referral,3/3/2016,Closed with explanation,Yes,No,1810978
4/28/2017,"Credit reporting, credit repair services, or other personal consumer reports",Credit reporting,Incorrect information on your report,Account status incorrect,"The  XXXX  credit companies that are  XXXX ,  XXXX  and  XXXX   XXXX  are showing that I have a late payment on  XXXX . The account was paid off  XXXX / XXXX /  XXXX   and I had a refund mailed to me on  XXXX / XXXX /  XXXX  .     I am trying to buy a home and with this reported late in the last 12 months it is impossible. I had disputed the mistake with the credit companies and it was never removed. All it showed was ACCOUNT IN DISPUTE -- CONSUMER DISAGREES.     What is there to disagree with? Did they even call to check? I am trying everything I can I just feel as if I have no options. I will continiue to work with my lender to get this fixed but th e 2 credit companies have been of no help and Wells Fargo will not provide a letter that there was never a late  on the account, just this payment history that I am attaching below.",Company has responded to the consumer and the CFPB and chooses not to provide a public response,WELLS FARGO & COMPANY,NV,891XX,,Consent provided,Web,5/2/2017,Closed with explanation,Yes,,2470145
10/21/2014,Credit reporting,,Incorrect information on credit report,Account status,,,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",CA,940XX,,,Web,10/21/2014,Closed with non-monetary relief,Yes,No,1079163
8/12/2013,Debt collection,Auto,Taking/threatening an illegal action,Threatened to sue on too old debt,,,ENCORE CAPITAL GROUP INC.,NC,28217,,,Web,11/7/2013,Closed with explanation,Yes,Yes,487765
9/4/2016,Bank account or service,Savings account,"Account opening, closing, or management",,BBVA is engaging in illegal harassment and intimidation as a result of my previous successful complaint XXXX in which BBVA admitted wrongdoing and giving out false information. BBVA first blocked my online access and now is refusing to permit me to close my account and give me my funds even though these are collected funds in good standing with BBVA for over six months. PLEASE HELP!!!,,BBVA COMPASS FINANCIAL CORPORATION,AZ,857XX,,Consent provided,Web,9/4/2016,Closed with monetary relief,Yes,No,2095477
11/2/2015,Mortgage,Home equity loan or line of credit,"Loan modification,collection,foreclosure",,,,JPMORGAN CHASE & CO.,TX,76901,,,Referral,11/3/2015,Closed with monetary relief,Yes,Yes,1635019
8/13/2014,Consumer Loan,Vehicle lease,Managing the loan or lease,,,,AUTO TRAKK LLC,IN,47362,,,Web,8/13/2014,Closed with explanation,Yes,No,982267
8/15/2018,"Money transfer, virtual currency, or money service",International money transfer,Other transaction problem,,"On XXXX of XX/XX/2018, I tried to transfer XXXX USD and XXXX USD to my brother, who lives in XXXX, to pay the medical bills of my mother. It was an urgent situation so I chose to send the money with XXXX XXXX ( www.transferwise.com ) Unfortunately, as soon as they received the money from my checking account, they deactivated my account. I have been trying to reach them and learn why they deactivated my account, why they did not transfer the money to my brother, why they have been holding my money instead of refunding it back to my checking account. To date, I have not got an answer. I have repeatedly called the customer service about the situation but all they have said to me is "" we don't know ''. They don't give me a meaningful answer and they hang up the phone to my face. 

Currently, I don't have enough money to pay the medical bills of my mother. I need that money as soon as possible. They are refusing to answer me. They are refusing to refund my money. 

It is their job to transfer my money. If they are unable to transfer it, they should tell me the REASON and REFUND my money as soon as possible. 

I trusted them but they have been holding my money and not giving an answer and reason why they don't refund it back to my checking account. 

I need that money to pay the medical bill of my mother. I am a poor guy. I withdrew a loan from my 401K retirement account to pay the medical bill of my mother. 

What I have been through during the last week is unbelievable.",Company believes it acted appropriately as authorized by contract or law,TransferWise Ltd,OH,441XX,,Consent provided,Web,8/15/2018,Closed with explanation,Yes,,2992710
2/20/2019,Debt collection,I do not know,Attempts to collect debt not owed,Debt is not yours,,Company believes the complaint is the result of a misunderstanding,"CCS Financial Services, Inc.",UT,84084,,Consent not provided,Web,2/20/2019,Closed with explanation,Yes,,3157717
3/13/2015,Credit card,,Credit card protection / Debt protection,,,,U.S. BANCORP,NY,131XX,Servicemember,,Web,3/13/2015,Closed with non-monetary relief,Yes,No,1281847
11/10/2016,Mortgage,VA mortgage,"Loan servicing, payments, escrow account",,,,"ASSOCIATED BANK, NATIONAL ASSOCIATION",WI,54449,Servicemember,Consent not provided,Web,11/10/2016,Closed with explanation,Yes,No,2203466
7/26/2017,"Credit reporting, credit repair services, or other personal consumer reports",Credit reporting,Incorrect information on your report,Account information incorrect,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",MD,20603,,,Postal mail,7/26/2017,Closed with explanation,Yes,,2586358
1/7/2015,Credit card,,Late fee,,,,SYNCHRONY FINANCIAL,CA,91313,,,Referral,1/12/2015,Closed with monetary relief,Yes,No,1184207
3/1/2016,Bank account or service,Other bank product/service,"Account opening, closing, or management",,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,WELLS FARGO & COMPANY,NY,105XX,,,Referral,3/2/2016,Closed with explanation,Yes,No,1811264
10/14/2015,Credit reporting,,Unable to get credit report/credit score,Problem getting my free annual report,,,"EQUIFAX, INC.",TX,77082,,,Fax,10/16/2015,Closed with explanation,Yes,No,1607565
10/15/2015,Debt collection,Medical,Cont'd attempts collect debt not owed,Debt was paid,,,Collection Consultants of California,CA,92410,,Consent not provided,Web,10/15/2015,Closed with explanation,Yes,No,1608427
5/7/2016,Consumer Loan,Vehicle lease,Taking out the loan or lease,,"I got a car loan for my XXXX toyota tundra, i had paid off the entire loan on XXXX XXXX, XXXX. I went to the MVD to get my title back into my name to learn that the company 'Check into cash ' had not given me my title back and still had a hold. I 've contacted them numerous times through visiting them in person and calling. I 've been unsuccessful in getting my title back.",,CHECK INTO CASH INC.,AZ,852XX,,Consent provided,Web,5/11/2016,Closed with explanation,Yes,No,1914697
4/17/2018,"Credit reporting, credit repair services, or other personal consumer reports",Credit reporting,Incorrect information on your report,Account information incorrect,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,Experian Information Solutions Inc.,NY,10303,,,Fax,4/17/2018,Closed with non-monetary relief,Yes,,2877742
4/21/2015,Student loan,Non-federal student loan,Dealing with my lender or servicer,Received bad information about my loan,"I was an XXXX XXXX grad of XXXX XXXX, Michigan and recently was informed of the CFPB 40 % reduction deal for students with Genesis loans. I was told the reductions would be automatically applied to my accounts. After a few months with no reduction, I called Genesis and was told that the government decided which loans were to receive the reduction and apparently my loan was not XXXX of them. Is this the case?",Company believes complaint caused principally by actions of third party outside the control or direction of the company,Genesis Lending,MI,495XX,,Consent provided,Web,4/21/2015,Closed with explanation,Yes,No,1340343
2/4/2019,"Credit reporting, credit repair services, or other personal consumer reports",Credit reporting,Problem with fraud alerts or security freezes,,,,"EQUIFAX, INC.",IL,60617,,Consent not provided,Web,2/6/2019,Closed with non-monetary relief,Yes,,3142588
8/3/2016,Bank account or service,Other bank product/service,"Account opening, closing, or management",,"XXXX 's client, XXXX XXXX XXXX is an identity theft victim. Several credit accounts were established and attempted using his information without his consent. Once of these accounts was attempted with Barclay 's Bank Delaware. The attempt left an inquiry on his credit report that is related to the fraudulent activity. A dispute was sent by this office on behalf of our client to Barclay 's Bank twice in an effort to remove the inquiry as fraud related as outlined in the FCRA. Both times Barclays Bank has denied removal of the data stating the factor in keeping the inquiry listed is an email address that is not even correct for the client. I have explained to Barclay 's bank that per the FCRA a police report was provided indicting this attempt was fraud related however Barclay 's Bank is continuing to violate the FCRA.",Company has responded to the consumer and the CFPB and chooses not to provide a public response,BARCLAYS BANK DELAWARE,WA,980XX,,Consent provided,Web,8/3/2016,Closed with non-monetary relief,Yes,No,2045064
7/20/2018,"Credit reporting, credit repair services, or other personal consumer reports",Credit reporting,Incorrect information on your report,Information belongs to someone else,"i am a victim of identity fraud. There are several accounts in my name that I have no knowledge of whatsoever. The accounts reported as 33 different accounts and are as listed : XXXX XXXX XXXX {$9900.00} open XX/XX/XXXX ; XXXX XXXX {$6600.00} XX/XX/XXXX ; XXXX XXXX XXXX   {$3500.00} XX/XX/XXXX ... there are several accounts reporting from XXXX XXXX XXXX/XXXX  from the year of XX/XX/XXXX-XX/XX/XXXX. By  law and statue of limitations, these accounts should not be reporting to my credit after 7 years. There are also several accounts reporting to my credit from XXXX XXXX XXXX/XXXX in amounts of {$2500.00}, {$3500.00}, and more. All accounts from this company are reporting from the years of XX/XX/XXXX-XX/XX/XXXX which also defied the statue of limitations for debt collection reporting. There are accounts reporting from XXXX XXXX from XX/XX/XXXX which should not be reporting. State of MI Office XXXX in the amount of {$6300.00}, this is a fraudulent account open XX/XX/XXXX. Theres a fraudulent Auto Loan opened from XXXX XXXX XXXX XXXX on XX/XX/XXXX in the amount of {$31000.00}. There are multiple accounts reporting from XXXX XXXX XXXX XXXX /XXXX/XXXX  opened in XX/XX/XXXX that also break the XXXX.",,"EQUIFAX, INC.",MI,481XX,,Consent provided,Web,7/20/2018,Closed with non-monetary relief,Yes,,2968435
7/24/2012,Credit card,,APR or interest rate,,,,"BANK OF AMERICA, NATIONAL ASSOCIATION",CO,80016,,,Web,7/25/2012,Closed with monetary relief,Yes,No,123418
6/7/2012,Credit card,,Identity theft / Fraud / Embezzlement,,,,U.S. BANCORP,CA,94541,,,Phone,6/12/2012,Closed with non-monetary relief,Yes,No,97405
6/22/2016,Bank account or service,Checking account,Deposits and withdrawals,,"My account was overdrawn on XX/XX/XXXX and an overdraft fee of {$35.00} was levied. There is no complaint on this fee. However, once I discovered that the account was negative I went in branch to fix the issue and make the account current. In branch I was told that they could not accept my check as a checking account deposit. They said that it had to be deposited into my savings and transferred into my checking. After the deposit I was informed that the funds available on the deposit of {$2000.00} was {$400.00}. I was told the account was positive and that the remaining funds were available to me. On Tuesday morning over {$140.00} in o/d fees were levied against the account. Wells Fargo 24hr Banking informed me that they would only waive XXXX fees ( {$70.00} ) and that I would be forced to pay the remaining XXXX. I do not have a continuous o/d history with Wells or a habitual o/d problem. These fees are a result of branch misinformation and the fact that my deposit was put into my savings account per the branch teller and manager 's decision. I was on the phone with 24hr banking for over an hour with reps and manager XXXX XXXX in the call center based in XXXX. I was refused waiver of the additional fees. 

These fees are based on misinformation and errors from Wells Fargo, despite this Wells is unwilling to reverse the transactions. I was willing to pay the fee for my actual o/d incident on XX/XX/XXXX ( {$35.00} ) but these additional fees are not my responsibility and compared to other retail banks are VERY high at {$35.00} each. 

I informed Wells Fargo that I am a recent graduate and relocated and that my funds are needed. They still will not reverse the fees based on their error. 

This is very upsetting. I just want my {$70.00} back. Please help me.",Company has responded to the consumer and the CFPB and chooses not to provide a public response,WELLS FARGO & COMPANY,CA,90028,,Consent provided,Web,6/22/2016,Closed with monetary relief,Yes,No,1978643
9/11/2015,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",,,,NATIONSTAR MORTGAGE,,,,,Referral,9/17/2015,Closed with explanation,Yes,No,1561808
3/31/2018,"Credit reporting, credit repair services, or other personal consumer reports",Credit reporting,Problem with fraud alerts or security freezes,,"On XX/XX/2018, I once again attempted to complete a Transunion Fraud Alert online and once again was told "" We are unable to complete your request. We are unable to confirm your identity with the information provided. '' This has happened every 90 days I have attempted to reup my fraud alert and Transunion has made no attempt to fix my identity information or offer me any instructions to fix my identity information. I am instructed to call into a line operated by a robot and forced to listen to multiple ads and opt out of paid credit monitoring. Transunion continues to waste my time with these ads and will not fix my identity information. I worry that I will accidentally accept the credit monitoring one day even though I have no intentions of ever doing so. I wish Transunion will fix my identity information so I can request the fraud alert online and not have to listen to the ads on the phone requiring me to opt out of Transunion paid services.",Company has responded to the consumer and the CFPB and chooses not to provide a public response,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",CA,939XX,,Consent provided,Web,3/31/2018,Closed with explanation,Yes,,2860406
9/8/2016,Bank account or service,Other bank product/service,"Account opening, closing, or management",,"I had line of credit with bank of America. 
I requested some document under Act ( FDCPA ) to send all this information but XXXX XXXX XXXX XXXX XXXX saying on email this loan was sold to XXXX XXXX and not providing any document. I have court date with XXXX and Bank of America is my original creditor. I do n't have any sign contract with XXXX. still I send the requested to them but I did not send me any is bein more then XXXX date.",Company has responded to the consumer and the CFPB and chooses not to provide a public response,"BANK OF AMERICA, NATIONAL ASSOCIATION",NJ,080XX,,Consent provided,Web,9/8/2016,Closed with explanation,Yes,Yes,2100946
10/12/2016,Money transfers,International money transfer,Other transaction issues,,,,"WESTERN UNION COMPANY, THE",FL,32809,,,Phone,10/12/2016,Closed with explanation,Yes,No,2157619
7/29/2018,Credit card or prepaid card,General-purpose credit card or charge card,Fees or interest,Charged too much interest,"On my most recent statement ( XX/XX/2018 ), I was charged a "" minimum interest charge '' of {$1.00} even though my balance subject to interest rate was {$0.00}. I tried to contact Bank of America to dispute this but was unable to find contact information except for a phone number which had a long wait.",Company has responded to the consumer and the CFPB and chooses not to provide a public response,"BANK OF AMERICA, NATIONAL ASSOCIATION",AL,35205,Servicemember,Consent provided,Web,7/29/2018,Closed with monetary relief,Yes,,2976296
8/7/2018,"Credit reporting, credit repair services, or other personal consumer reports",Credit reporting,Incorrect information on your report,Information belongs to someone else,"I was advised to contact you all regarding items on my credit that is not mine. I have tried all I know to call the creditors. I also reached out the my local police department and the FTC. I am doing this on my own behalf and really need help to remove these items off my credit report so I can move on with my life. 

Bankruptcy ch XXXXdismissed Ref XXXX ( XXXX, Transunion ), Bankruptcy ch XXXXdismissed Ref XXXX ( XXXX, Transunion ), Bankruptcy ch XXXX-dismissed Ref XXXX ( XXXX ), Bankruptcy ch XXXX-dismissed Ref XXXX ( XXXX, Transunion ), Bankruptcy ch? -dismissed Ref XXXX ( XXXX  , transunion ), Bankruptcy ch XXXX- dismRef XXXX ( XXXX, XXXX ) , Bankruptcy ch XXXX-dism Ref XXXX ( XXXX, XXXX   ) , Bankruptcy ch XXXXdismissed Ref XXXX ( XXXX, transunion ) , Bankruptcy ch 7-dism Ref XXXX ( XXXX, XXXX, , Transunion ) , XXXX XXXX XXXX  XXXX Account XXXX XXXX XXXX ( XXXX, XXXX, , Transunion ) , XXXX XXXX Acct XXXX ( XXXX, , XXXX, transunion ) , XXXX XXXX ( XXXX, XXXX, , Tranunion ), XXXX XXXX XXXX ( XXXX. XXXX, TU ), XXXX. XXXX XXXX",Company has responded to the consumer and the CFPB and chooses not to provide a public response,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",GA,303XX,,Consent provided,Web,8/7/2018,Closed with explanation,Yes,,2984170
12/9/2013,Bank account or service,Checking account,Deposits and withdrawals,,,,WELLS FARGO & COMPANY,CA,90706,,,Web,12/10/2013,Closed,Yes,No,626270
8/27/2015,Mortgage,Conventional adjustable mortgage (ARM),"Loan modification,collection,foreclosure",,,Company believes it acted appropriately as authorized by contract or law,"SELECT PORTFOLIO SERVICING, INC.",CA,91786,,Consent not provided,Web,8/27/2015,Closed with non-monetary relief,Yes,No,1539389
6/19/2015,Credit reporting,,Incorrect information on credit report,Information is not mine,,,"EQUIFAX, INC.",MO,63114,,Consent not provided,Web,6/19/2015,Closed with explanation,Yes,No,1429145
9/8/2017,"Credit reporting, credit repair services, or other personal consumer reports",Credit reporting,Improper use of your report,Reporting company used your report improperly,"This week ( XXXX/XXXX/2017 ), Equifax disclosed a security breach in which 143 million US customers of the agency had their personal information taken. I checked on https : //www.equifaxsecurity2017.com and the site alerted me that my personal information may have been impacted by this incident. This amounts to improper use of my personal data by having it disclosed to 3rd parties without my consent ( even if Equifax is a victim in this case as well XXXX.",,"EQUIFAX, INC.",WA,980XX,,Consent provided,Web,9/8/2017,Closed with explanation,Yes,,2667972
1/16/2015,Mortgage,Conventional fixed mortgage,"Loan modification,collection,foreclosure",,,,NATIONSTAR MORTGAGE,NY,10013,Older American,,Web,1/16/2015,Closed with explanation,Yes,No,1196659
7/18/2016,Mortgage,VA mortgage,"Loan modification,collection,foreclosure",,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,MIDFIRST BANK,NJ,07203,,Consent not provided,Web,7/19/2016,Closed with explanation,Yes,No,2017067
4/17/2019,Credit card or prepaid card,General-purpose credit card or charge card,"Advertising and marketing, including promotional offers",Didn't receive advertised or promotional terms,,,DISCOVER BANK,,,,,Phone,4/17/2019,Closed with explanation,Yes,,3214875
9/8/2017,Debt collection,Medical debt,Written notification about debt,Didn't receive notice of right to dispute,,,"Remex, Inc.",NJ,07095,,Consent not provided,Web,9/8/2017,Closed with explanation,Yes,,2668688
3/15/2016,Debt collection,Mortgage,Taking/threatening an illegal action,Seized/Attempted to seize property,"On XXXX XXXX, XXXX I refinanced my mortgage with Option One Mortgage Company in the amount of XXXX. Option One Mortgage became a defunct entity in the state of North Carolina in XXXX. On XXXX XXXX, XXXX I received a notice of foreclosure of deed of trust from XXXX XXXX. This notice stated that the present holder of the deed of trust is XXXX XXXX Bank XXXX XXXX XXXX for XXXX XXXX XXXX XXXX XXXX. There was no note attached to notice of hearing. On XX/XX/XXXX months after the notice of foreclosure an assignment of the mortgage from Option One Mortgage Corporation ( a defunct entity ) was assigned to XXXX XXXX Bank XXXX XXXX XXXX for XXXX XXXX XXXX XXXX XXXX. Although XXXX XXXX and XXXX require the servicing company to send a pre-foreclosure notice and notice information, the servicing company did not provide the notice before accelerating the loan on behalf of XXXX XXXX Bank XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX before become the alleged holder of the note on XXXX XXXX, XXXX according the assignment recorded in the XXXX XXXX XXXX of deeds on XXXX XXXX, XXXX. The deed of trust signed by myself and my spouse clearly states that notice would be sent before the acceleration of the debt. The servicing company is attempting to have the property sold on Tuesday XXXX XXXX at XXXX when it knows that the 45 day pre-foreclosure/acceleration letter was not mailed as required by NC law.",,OCWEN LOAN SERVICING LLC,NC,280XX,,Consent provided,Web,3/15/2016,Closed with explanation,Yes,Yes,1833927
12/23/2018,"Payday loan, title loan, or personal loan",Payday loan,Charged fees or interest you didn't expect,,"a payday loan, really can't remeber there name, weird name, foreign / XXXX XXXX i think. can't remember i'm old and sick, iknow i did XXXX XXXX  and XXXX  XXXX, that i can remeber, but oher one i can't",,"MNE Services, Inc",VA,,Older American,Consent provided,Web,12/23/2018,Untimely response,No,,3108126
5/31/2018,"Credit reporting, credit repair services, or other personal consumer reports",Credit reporting,Incorrect information on your report,Information belongs to someone else,"I need some assistance here, per XXXX on XX/XX/XXXX they confirmed this is my account which is a lie. I would like to know name 's, department of who they are verifying there information through. This has got to be resolved. THIS IS FRAUD and I thought taking my time cleaning it up was good enough and now I'm still dealing with this issue. Please see attached notice that was given that this account is FRAUD back in XXXX. Five months later this is STILL on my credit file hurting me. 

XXXX XXXX / XXXX XXXX XXXX Per XXXX which is 110 % inaccurate YOUR COMPLAINT I have notified XXXX as well as the other two agencies and the only one not complying is XXXX. I took it upon myself and sent them proof as well as the creditor this DOES NOT BELONG TO ME and after working on this issue for the past 3 months this inaccurate remark for a whole lot of money is still listed on my personal credit file prohibiting me from making a financial move I need. What else do I need to do. CFPB please help me. I have proof I requested along with the creditor, and have XXXX response stating they investigated which is false as they did not. The remark is XXXX/XXXX XXXX XXXX REMOVE ATTACHMENTS XXXX XXXX XXXX  NOTICE TO REMOVE.pdf ( 919.7 KB ) XXXX XXXX XXXX results.pdf ( 632.3 KB ) View full complaint Sent to company STATUS Sent to company on XX/XX/XXXX We've sent your complaint to the company, and we will let you know when they respond. 

Their response should include the steps they took, or will take, to address your complaint. 

You should receive an update from the company within the next 15 days, and a final response within 60 days. 

Company still working STATUS Company response is in progress as of XX/XX/XXXX The company has responded that it is still working on your issue In some cases, companies need more time to respond. You should receive a final response within 60 days from the date we sent your complaint to the company. 

COMPANY 'S INTERIM RESPONSE Thank you for submitting your complaint on XX/XX/XXXX, through the CFPB Complaint Portal. We appreciate consumers who take the time to let us know about their experiences with our company. We have reviewed and considered the information, including the two attachments, you have supplied through the CFPB portal and directly to XXXX. We are currently in the process of contacting the data furnisher ( s ) to verify the accuracy of the information with which you disagree as needed. Please note that an investigation may take up to 30 days. Upon completion, the result summary will be provided directly to you for review. If you have any additional supporting new documentation regarding the disputed information, you may forward that to XXXX for further review. If you disagree with the results of the reinvestigations, it is your legal right, under the FCRA, to add a 100-word statement specifying the nature of your dispute. The consumer statement will appear on your credit report and be viewable upon inquiry. If you would like our assistance in providing a concise statement, please contact us directly at the telephone number or address provided on your personal credit report and we would be happy to assist you. You may refer to the credit report that you received for the name, phone number ( if available ) and address of the data furnisher or public records office who verified that information. In addition, for more information regarding your credit and frequently asked questions, you may visit : XXXX XXXX XXXX. Please note that accurate information can not be deleted. A national consumer credit reporting agency stores information from credit grantors, collection companies as well as public record information that include bankruptcies, judgments and liens. Potentially negative information, such as late payments and most public record items, which are obtained from courts and other government offices, remain on the personal credit report for up to seven years from the date of the original missed payment, not by the open date. Positive information may remain on the report indefinitely, although paid closed accounts generally display for up to 10 years from the date paid or closed. Requests for your credit history remain on your personal credit report for at least two years. For additional assistance, you may call the toll free telephone number provided on your personal credit report obtained directly from XXXX, or write to XXXX  at XXXX. XXXX XXXX, XXXX, TX XXXX. Thank you for submitting your complaint through the CFPB Complaint Portal. It is our policy to respond to consumer complaints swiftly and to take each complaint seriously. We appreciate you letting us know about your experiences with XXXX. 
Company responded STATUS Company responded on XX/XX/XXXX RESPONSE TYPE Closed with explanation Company 's Response Thank you for submitting your complaint on XX/XX/XXXX, through the CFPB Complaint Portal. We appreciate consumers who take the time to let us know about their experiences with our company. We have reviewed and considered the information that you have supplied through the CFPB portal and directly to XXXX. In your complaint, you indicate that there is an account on your credit report that you request be removed. At your request to conduct an investigation, we contacted the data furnisher and asked them to verify the accuracy of the information with which you disagree. They responded and verified that the disputed information was accurate as reported. The result summary was sent to you for review. If you have any additional supporting new documentation regarding the disputed information, you may forward that to XXXX for further review. According to the Fair Credit Reporting Act ( FCRA ), a national consumer credit reporting agencys role in the dispute process is to review the accuracy and completeness of any disputed item which may include contacting the furnisher of the information or the vendor that collected the information from a public record source, such as a court or other government office, notifying them of the disputed information and disclosing all relevant information regarding the consumers dispute. In order to help resolve the consumers dispute, XXXX  will review all relevant documents submitted by the consumer with the dispute and will forward such documents to the furnisher if XXXX is unable to resolve the issue based on those documents. Consumers may also contact creditors directly to dispute items reported by the creditor. If the issue is not resolved, then the consumer credit reporting agency must offer to include a consumer statement on the personal credit report. If you disagree with the results of the reinvestigations, it is your legal right, under the FCRA, to add a 100-word statement specifying the nature of your dispute. The consumer statement will appear on your credit report and be viewable upon inquiry. If you would like our assistance in providing a concise statement, please contact us directly at the telephone number or address provided on your personal credit report and we would be happy to assist you. You may refer to the credit report that you received for the name, phone number ( if available ) and address of the data furnisher who verified that information. Please note that accurate information can not be deleted. Potentially negative items, such as missed or late payments, remains on the personal credit report for seven years from the date of the original missed payment. For additional assistance, you may call the toll free telephone number provided on your personal credit report obtained directly from XXXX, or write to XXXX  at XXXX. XXXX XXXX, XXXX, TX XXXX. For more information regarding your credit and frequently asked questions, you may visit : XXXX XXXX XXXX. Thank you for submitting your complaint through the CFPB Complaint Portal. It is our policy to respond to consumer complaints swiftly and to take each complaint seriously. We appreciate you letting us know about your experiences with XXXX.",Company has responded to the consumer and the CFPB and chooses not to provide a public response,SYNCHRONY FINANCIAL,FL,33709,,Consent provided,Web,5/31/2018,Closed with non-monetary relief,Yes,,2922759
6/8/2018,"Credit reporting, credit repair services, or other personal consumer reports",Credit reporting,Incorrect information on your report,Account information incorrect,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",GA,30122,,,Fax,6/8/2018,Closed with non-monetary relief,Yes,,2930528
12/19/2016,Debt collection,"Other (i.e. phone, health club, etc.)",Disclosure verification of debt,Right to dispute notice not received,,,ENCORE CAPITAL GROUP INC.,CT,06111,,Consent not provided,Web,12/19/2016,Closed with explanation,Yes,No,2256397
10/18/2016,Mortgage,Other mortgage,"Loan servicing, payments, escrow account",,,Company believes it acted appropriately as authorized by contract or law,Ditech Financial LLC,FL,33165,,Consent not provided,Web,10/18/2016,Closed with explanation,Yes,No,2167177
8/2/2018,Credit card or prepaid card,General-purpose prepaid card,Trouble using the card,Trouble using the card to spend money in a store or online,"There was a duplicate refund issued by XXXX, but later XXXX said they fixed it, but now my prepaid Visa gift card issued by US Bank is still unusable.",Company has responded to the consumer and the CFPB and chooses not to provide a public response,U.S. BANCORP,CA,900XX,,Consent provided,Web,8/2/2018,Closed with monetary relief,Yes,,2981214
9/22/2016,Credit reporting,,Credit reporting company's investigation,No notice of investigation status/result,"They had never provided any link from this intuit to my personal name nor did they provide what this collection consists of, how and why I owe this amount, I also belive they respnded to me more then 30 days later.",Company has responded to the consumer and the CFPB and chooses not to provide a public response,Experian Information Solutions Inc.,NY,112XX,,Consent provided,Web,9/22/2016,Closed with explanation,Yes,No,2127601
9/11/2013,Debt collection,I do not know,Cont'd attempts collect debt not owed,Debt is not mine,,,"The CBE Group, Inc.",IA,502XX,"Older American, Servicemember",,Web,9/13/2013,Closed with non-monetary relief,Yes,No,524444
9/27/2017,"Credit reporting, credit repair services, or other personal consumer reports",Credit reporting,Problem with a credit reporting company's investigation into an existing problem,Their investigation did not fix an error on your report,"I have successfully sent over documentation/supporting details regards to this fraudulent /incorrect account that have been added to my file. After speaking to numerous customer service reps in addition to faxing over documentation showing I am a victim of identity theft. Despite showing supporting document XXXX, has failed to update my credit file accordingly. 

XXXX XXXX XXXX Amount of XXXX Reason : Fraudulent Account",,"EQUIFAX, INC.",MD,207XX,,Consent provided,Web,9/27/2017,Closed with explanation,Yes,,2686432
10/15/2014,Bank account or service,Checking account,"Account opening, closing, or management",,,,WELLS FARGO & COMPANY,NY,10451,,,Phone,10/21/2014,Closed with explanation,Yes,No,1071702
5/9/2016,Debt collection,Credit card,Communication tactics,Called after sent written cease of comm,"Portfolio Recovery called me on XXXX. I requested they do not contact me. I submitted something in writing requesting this. I received another call on XXXX and today XXXX, again reiterating that I have requested them to cease and desist contact with me.",,PORTFOLIO RECOVERY ASSOCIATES INC,MI,480XX,,Consent provided,Web,5/9/2016,Closed with non-monetary relief,Yes,No,1915782
